text,price
LeHang PCI-E 3.0 16X Tarjeta gráfica Soporte Vertical/Base de Alta Velocidad PCI-E Cable de extensión DIY ATX,50.99
Tarjeta gráfica NVIDIA GeForce RTX 3080ti Founders Edition,2.079.99
"SAPLOS Radeon RX 550 Tarjeta Gráfica, 4GB, GDDR5, 128 bits, DisplayPort/DVI-D/HDMI, Tarjeta de Video para Juegos de PC, Graphics Cards, 4k@60 Hz, GPU Computadora",219.99
LINKUP Kit con Soporte Vertical GPU para Tarjetas Gráficas y LINKUP Ultra PCIe 4.0 X16 Cable Gen4 Riser 90 Grados Ángulo Recto 20cm Negro,119.96
Tarjeta gráfica Nvidia Quadro K600 1GB GDDR3 PCI-e DVI DisplayPort,498.00
ASUS GeForce GTX 1660 Super Phoenix 6GB GDDR6 Tarjeta gráfica DP/HDMI/DVI,549.90
"KFA2 nVidia GeForce 26NRL7HPX7OK - Tarjeta gráfica (Memoria GDDR6 de 256 bits, PCIe), Color Negro Negro",789.95
"EZDIY-FAB Soporte de GPU, Soporte de Tarjeta Gráfica, Soporte de Sag de Tarjeta de Video, Soporte de Sag de Tarjeta de Video Compatible con RX6700, RTX3090- 309EZ - Negro",9.98
"GTX750Ti - Tarjeta gráfica D5 para ordenador de sobremesa (memoria PCI Express 2.0, 640 Stream)",89.99
Nvidia NVS 310 DP (reacondicionada),79.00
"ASUS Dual AMD Radeon RX 6700 XT STD Edition 12 GB GDDR6 - Tarjeta gráfica Gaming (AMD RDNA 2, PCIe 4.0, 12 GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Ventiladores Axial-Tech), 90YV0G82-M0NA00",1.149.00
"Gigabyte Technology GVN1656WO4-00-10 - Tarjeta gráfica GTX 1656 D6 Windforce OC 4 GB, GVN1656WO4-00-10, Negro",1.149.00
PNY Tarjeta Gráfica GeForce RTX™ 3060 12GB XLR8 Gaming REVEL EPIC-X RGB™ Single Fan,784.05
ASUS Dual GeForce RTX 2060 OC Edition EVO - Tarjeta gráfica de 6 GB GDDR6 con la Arquitectura gráfica NVIDIA Turing,529.13
